,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-36577,Sr(AsS2)2,Triclinic,P1,False,0.03799723535714428,-0.7661003587499989,7.0,-5.4084879358528894,-5.395216674448175,-5.385173331880693,-5.372319096120019,-5.3533440704949395,-5.281905775360234,-4.998672999517555,-4.707531412270649,-4.407014269826488,-4.100219419953258,-3.7869396306184506,-3.3320679164050038,-2.860483021051621,-2.373529524089621,-1.8082481189145962,-1.2389680347429657,-0.6656738845382701
mp-8947,Sr(BS2)2,Monoclinic,P2_1/c,True,0.0,-1.2334539890476184,7.0,-8.606594312923233,-8.583107444576434,-8.565924620889533,-8.547956089271398,-8.525313624813265,-8.45132723582141,-8.166454279268704,-7.874451907072769,-7.573766315275782,-7.267420728647542,-6.955093907796881,-6.636593102680109,-6.311826336198504,-5.9704804172454455,-5.549619877118799,-5.123594673645648,-4.692411184830732
mp-1197827,Sr(BiS2)2,Hexagonal,P6_3/m,True,0.0,-1.1666713544047607,7.0,-8.084371774871293,-8.038185564504158,-7.969973606601243,-7.87895801051887,-7.781357303693197,-7.631183465721375,-7.269320862955969,-6.899806483558582,-6.521277226789508,-6.136907636276391,-5.746471824237131,-5.349849590765361,-4.9470111445943505,-4.527695116144147,-4.029003348211809,-3.525327255845755,-2.915668915863999
mp-33392,Sr(CeS2)2,Tetragonal,I-42d,False,0.02482632428571563,-2.388512975178575,7.0,-16.454916436630633,-16.361877037237534,-16.270486036549,-16.174663165313284,-16.071021830999708,-15.913151149547865,-15.54159968381754,-15.151130441558875,-14.742194075465344,-14.325603622194597,-13.901265857072781,-13.469189097579658,-13.029445122640753,-12.571859622840908,-12.033619428280907,-11.489182285563292,-10.93864785144079
mp-980666,Sr(DyS2)2,Orthorhombic,Pnma,True,0.0,-2.438532846964285,7.0,-16.785465384957323,-16.68745330580724,-16.591752940903003,-16.49256800295897,-16.386704675523642,-16.227870227617398,-15.856712719431231,-15.477016250076625,-15.087125445403498,-14.68990806560166,-14.284839730895431,-13.87149553080167,-13.449540963476881,-13.003924277416452,-12.46250028219985,-11.91346979330042,-11.357009163330353
mp-1193662,Sr(ErS2)2,Orthorhombic,Pnma,True,0.0,-2.436656995059522,7.0,-16.780897010306937,-16.68485042156747,-16.590852293718413,-16.493110485196244,-16.388447762438005,-16.2305941959358,-15.86024759454622,-15.481293627573004,-15.092240676890325,-14.696136841600786,-14.292648445146806,-13.881555790290845,-13.462719224129645,-13.025765442585651,-12.506542207510714,-11.958963139477417,-11.405176918402711
mp-14425,Sr(GaS2)2,Orthorhombic,Fddd,True,0.0,-1.4577934091071418,7.0,-10.089104971762001,-10.004809994141628,-9.923359456061183,-9.839035838955555,-9.748724095093774,-9.606220626522079,-9.252287500790114,-8.890893301644281,-8.520633471123547,-8.1446431684953,-7.762686141672095,-7.37463804502544,-6.980460795844333,-6.569886805965634,-6.080013772464259,-5.585226891805423,-5.085559489187727
mp-37183,Sr(GdS2)2,Tetragonal,I-42d,False,0.023524695357142633,-2.336525706607152,7.0,-16.095930859442014,-16.002374845657435,-15.911116036091238,-15.816148784490057,-15.714200505681871,-15.558959812937475,-15.191110005085976,-14.814559552902846,-14.427843785456133,-14.034021166153755,-13.632760091299215,-13.223863665126697,-12.802018373510982,-12.349830131942348,-11.81705352716768,-11.278142160067397,-10.733193614533148
mp-1194314,Sr(HoS2)2,Orthorhombic,Pnma,True,0.0,-2.438685768392856,7.0,-16.78348149372131,-16.685016240206938,-16.588850263772002,-16.489241171518607,-16.383075988576834,-16.224039182495346,-15.85270833618886,-15.472819872964333,-15.082716345810624,-14.685265514917539,-14.279940927648331,-13.86633011068626,-13.444092343604627,-13.002651181941367,-12.464853402939315,-11.91311239397419,-11.354596268035435
mp-21781,Sr(InS2)2,Orthorhombic,Fddd,True,0.0,-1.329530095297614,7.0,-9.169565704566098,-9.09727014300778,-9.022041957197091,-8.943020342047697,-8.85722291293689,-8.718560079269555,-8.367889260204402,-8.009235006736626,-7.641236290987591,-7.267073875168149,-6.886544672967911,-6.499549213091196,-6.106080505742991,-5.695887545648683,-5.206088758493861,-4.711090069354409,-4.210933094873186
