,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error
101,mp-23012,Bi4 Pd6 S4,Bi2 Pd3 S2,-0.521839821,-0.596619,0.07477917899999997,-0.476619,45.22082100000002
102,mp-756173,Li10 Fe2 S8,Li5 Fe1 S4,-1.266473599,-1.3417475,0.07527390100000009,-1.2217475000000002,44.7260989999998
103,mp-542627,Fe8 Ag4 S12,Fe2 Ag1 S3,-0.505214399,-0.62941813,0.12420373100000004,-0.50941813,4.203731000000044
104,mp-1191757,La8 Co2 S14,La4 Co1 S7,-1.985576255,-2.145708,0.16013174499999994,-2.025708,40.13174499999983
105,mp-1218053,Ta6 Cu4 S12,Ta3 Cu2 S6,-1.170482334,-1.261113,0.09063066600000003,-1.1411129999999998,29.36933400000008
106,mp-1232223,Ce8 Mg4 S16,Ce2 Mg1 S4,-2.067469661,-2.1013367,0.03386703899999999,-1.9813367,86.13296100000012
107,mp-541378,Cs4 Bi4 S8,Cs1 Bi1 S2,-0.994317065,-1.1117939,0.11747683499999984,-0.9917938999999999,2.5231650000001604
108,mp-3930,Sc4 Mn2 S8,Sc2 Mn1 S4,-1.90104308,-1.9524004,0.05135731999999993,-1.8324004,68.64267999999996
109,mp-1212338,Ho12 Cr4 S24,Ho3 Cr1 S6,-2.019785834,-2.1317701,0.11198426599999989,-2.0117700999999997,8.015734000000219
110,mp-3787,Rb2 Fe4 S6,Rb1 Fe2 S3,-0.935672357,-0.98450303,0.04883067299999999,-0.86450303,71.16932700000001
111,mp-1219680,Rb1 Nb6 S8,Rb1 Nb6 S8,-1.396766277,-1.4818816,0.08511532299999991,-1.3618815999999998,34.884677000000195
112,mp-27255,Ga4 Te2 S4,Ga2 Te1 S2,-0.686105887,-0.8467712,0.16066531299999998,-0.7267712,40.66531299999998
113,mp-1196179,Tm16 Cr8 S32,Tm2 Cr1 S4,-1.871840243,-1.9696345,0.09779425699999988,-1.8496345,22.205743
114,mp-1195809,Gd8 Hf4 S20,Gd2 Hf1 S5,-2.146883804,-2.3154492,0.16856539600000042,-2.1954492,48.56539600000032
115,mp-9361,Rb1 La1 S2,Rb1 La1 S2,-2.140519784,-2.2833986,0.14287881600000008,-2.1633986,22.87881599999997
116,mp-27124,Cu4 Bi5 S10,Cu4 Bi5 S10,-0.552466881,-0.64693373,0.09446684900000002,-0.52693373,25.533150999999975
117,mp-2492941,Li4 Nb2 S6,Li2 Nb1 S3,-1.399196627,-1.4904149,0.09121827299999996,-1.3704149,28.781726999999925
118,mp-629690,Bi4 Pb6 S12,Bi2 Pb3 S6,-0.729781429,-0.80164057,0.07185914100000002,-0.68164057,48.14085899999998
119,mp-753974,Li16 Cr2 S12,Li8 Cr1 S6,-1.351963786,-1.4557973,0.10383351399999996,-1.3357972999999999,16.16648600000015
120,mp-1172905,Ag3 Bi3 S6,Ag1 Bi1 S2,-0.486879749,-0.55601263,0.06913288100000003,-0.43601263,50.86711899999996
121,mp-561902,Cs2 Ag6 S4,Cs1 Ag3 S2,-0.498488322,-0.61858267,0.12009434800000002,-0.49858267,0.09434800000002186
122,mp-863748,Tb4 B4 S12,Tb1 B1 S3,-1.516608375,-1.6539946,0.1373862250000002,-1.5339946000000002,17.38622500000031
123,mp-29705,Rb24 Sn8 S28,Rb6 Sn2 S7,-1.228317907,-1.2820644,0.053746493000000006,-1.1620644000000002,66.25350699999987
124,mp-29410,Li4 B4 S10,Li2 B2 S5,-0.995566415,-1.1041371,0.108570685,-0.9841371,11.429314999999995
125,mp-766422,Li12 Bi4 S16,Li3 Bi1 S4,-1.022543279,-1.1219839,0.09944062100000006,-1.0019839,20.559379000000042
126,mp-20025,Mn1 Ga2 S4,Mn1 Ga2 S4,-0.925073554,-1.0502759,0.1252023459999999,-0.9302758999999999,5.202345999999913
127,mp-680181,Bi16 Pb16 S40,Bi2 Pb2 S5,-0.699803611,-0.7718166,0.07201298899999997,-0.6518166,47.987011000000024
128,mp-1224365,K3 In21 S24,K1 In7 S8,-0.85332007,-0.948926,0.09560593000000006,-0.828926,24.394069999999935
129,mp-19833,In2 Ag2 S4,In1 Ag1 S2,-0.559127425,-0.77191865,0.21279122500000003,-0.65191865,92.79122500000003
130,mp-30239,Sr6 B4 S12,Sr3 B2 S6,-1.667462778,-1.7654076,0.0979448220000001,-1.6454076,22.05517800000001
131,mp-1224121,Hf1 Zr1 S6,Hf1 Zr1 S6,-1.569317189,-1.7393655,0.17004831099999995,-1.6193654999999998,50.04831099999984
132,mp-1194276,Ca4 Ho8 S16,Ca1 Ho2 S4,-2.405929086,-2.50631,0.10038091400000004,-2.38631,19.619086000000063
133,mp-1218051,Ta4 Mo1 S8,Ta4 Mo1 S8,-1.23441366,-1.349198,0.11478433999999993,-1.2291979999999998,5.215660000000177
134,mp-1223584,K4 Bi12 S20,K1 Bi3 S5,-0.836971434,-0.920588,0.083616566,-0.800588,36.383433999999994
135,mp-15791,Li1 Er1 S2,Li1 Er1 S2,-2.121399676,-2.210228,0.08882832400000007,-2.0902279999999998,31.171676000000037
136,mp-1192454,Ti2 Nb8 S16,Ti1 Nb4 S8,-1.525464076,-1.592604,0.0671399239999999,-1.472604,52.86007599999998
137,mp-1025263,Ti2 Ni1 S4,Ti2 Ni1 S4,-1.42996627,-1.5347897,0.10482342999999994,-1.4147897,15.176569999999945
138,mp-1216628,Tm4 Mn1 S7,Tm4 Mn1 S7,-2.073130118,-2.1776617,0.1045315819999999,-2.0576616999999997,15.468418000000206
139,mp-1194339,Li12 Sb4 S12,Li3 Sb1 S3,-1.170994167,-1.2382345,0.06724033299999999,-1.1182344999999998,52.75966700000012
140,mp-1201533,K36 Fe4 S28,K9 Fe1 S7,-1.069821285,-1.2572728,0.187451515,-1.1372727999999999,67.4515149999999
141,mp-1216175,Y4 Fe1 S7,Y4 Fe1 S7,-1.984946933,-2.0986686,0.11372166699999986,-1.9786685999999998,6.278333000000247
142,mp-8947,Sr4 B8 S16,Sr1 B2 S4,-1.233453989,-1.3312688,0.09781481099999989,-1.2112688,22.185188999999994
143,mp-1211986,K8 Hg12 S16,K2 Hg3 S4,-0.758335309,-0.8382917,0.07995639099999996,-0.7182917,40.04360900000003
144,mp-1200447,La8 Y8 S24,La1 Y1 S3,-2.46285816,-2.5553138,0.09245563999999984,-2.4353138,27.544360000000268
145,mp-1103493,Tm1 Mo6 S8,Tm1 Mo6 S8,-0.998825906,-1.2487475,0.2499215939999999,-1.1287474999999998,129.9215939999998
146,mp-667323,Mg6 Ga12 S24,Mg1 Ga2 S4,-1.181282878,-1.2985226,0.1172397220000001,-1.1785226,2.760278000000005
147,mp-5821,Ta2 Ag2 S6,Ta1 Ag1 S3,-0.95496328,-1.1005458,0.14558251999999994,-0.9805457999999999,25.582519999999942
148,mp-562537,Ta4 Ni6 S16,Ta2 Ni3 S8,-1.044254566,-1.1501542,0.10589963400000002,-1.0301542000000001,14.100365999999864
149,mp-7792,Y4 Sc4 S12,Y1 Sc1 S3,-2.274756047,-2.3946388,0.11988275300000018,-2.2746388,0.11724699999993149
150,mp-4544,Ba8 Co4 S12,Ba2 Co1 S3,-1.598908759,-1.7710799,0.17217114099999997,-1.6510799,52.17114100000009
151,mp-18148,K12 Ta4 S16,K3 Ta1 S4,-1.51260313,-1.6201817,0.10757857000000004,-1.5001817000000002,12.421429999999845
152,mp-4001,Ba2 Ta2 S6,Ba1 Ta1 S3,-1.782052072,-2.018359,0.23630692799999986,-1.8983589999999997,116.30692799999976
153,mp-1189266,K2 Cr6 S10,K1 Cr3 S5,-1.114105531,-1.2108487,0.0967431689999998,-1.0908487,23.25683100000009
154,mp-680170,Cs6 Ti6 S27,Cs2 Ti2 S9,-1.324532681,-1.4586197,0.13408701900000009,-1.3386197000000002,14.0870190000002
155,mp-1232129,Er4 Mg2 S8,Er2 Mg1 S4,-2.173367974,-2.2841308,0.11076282599999976,-2.1641307999999997,9.237174000000348
156,mp-1226432,Cs1 V6 S8,Cs1 V6 S8,-1.271067919,-1.3691761,0.09810818099999996,-1.2491761000000001,21.891818999999924
157,mp-1222312,Li1 Eu1 S2,Li1 Eu1 S2,-1.706453019,-1.8431569,0.13670388100000008,-1.7231569000000002,16.703881000000198
158,mp-1224473,Hf2 Ni1 S4,Hf2 Ni1 S4,-1.54656867,-1.7314087,0.18484002999999993,-1.6114087000000001,64.84003000000004
159,mp-1386933,Ca1 Ti4 S8,Ca1 Ti4 S8,-1.78995498,-1.9044987,0.1145437199999999,-1.7844986999999999,5.456280000000202
160,mp-1215370,Zr4 Cu1 S8,Zr4 Cu1 S8,-1.713804263,-1.8428936,0.12908933699999992,-1.7228936,9.089336999999809
161,mp-1219053,Sm1 Eu1 S2,Sm1 Eu1 S2,-2.329592711,-2.3952734,0.06568068900000013,-2.2752734,54.319310999999985
162,mp-8751,Rb2 Li2 S2,Rb1 Li1 S1,-1.344601024,-1.4981328,0.15353177600000012,-1.3781328,33.531776000000015
163,mp-559134,Eu6 As4 S16,Eu3 As2 S8,-1.33463213,-1.4635023,0.12887017000000012,-1.3435023,8.87017000000001
164,mp-1221580,Mn1 Hg1 S2,Mn1 Hg1 S2,-0.566137746,-0.6412359,0.07509815399999997,-0.5212359,44.90184600000002
165,mp-1232362,Pr6 Mg6 S18,Pr1 Mg1 S3,-1.573289923,-1.870165,0.29687507700000015,-1.750165,176.87507700000003
166,mp-1080726,Zn3 Cr1 S4,Zn3 Cr1 S4,-0.884853989,-1.0277101,0.14285611099999995,-0.9077101,22.856110999999956
167,mp-981379,Zn3 Cd1 S4,Zn3 Cd1 S4,-0.897149623,-1.1082577,0.211108077,-0.9882577,91.10807700000001
168,mp-1192902,Tl8 Cu8 S12,Tl2 Cu2 S3,-0.431865203,-0.5506132,0.11874799700000005,-0.43061320000000003,1.252002999999946
169,mp-1045419,Y2 Cr4 S8,Y1 Cr2 S4,-1.367690169,-1.4883935,0.12070333099999986,-1.3683934999999998,0.7033309999997517
170,mp-1103998,Fe1 Mo6 S8,Fe1 Mo6 S8,-0.756216809,-0.92416066,0.16794385099999998,-0.80416066,47.94385099999998
171,mp-1193030,Ce8 Co2 S14,Ce4 Co1 S7,-1.951934346,-2.056634,0.10469965399999981,-1.9366339999999997,15.300346000000298
172,mp-37923,Sm5 Ag1 S8,Sm5 Ag1 S8,-2.113616748,-2.2147582,0.1011414519999998,-2.0947582,18.858548000000308
173,mp-35785,Y4 Cd2 S8,Y2 Cd1 S4,-1.936081384,-2.0544739,0.11839251600000011,-1.9344739,1.6074839999999924
174,mp-1100384,Ca4 Sn20 S44,Ca1 Sn5 S11,-0.760783526,-0.88327014,0.12248661400000005,-0.76327014,2.4866140000000536
175,mp-1120784,Dy4 Sn2 S6,Dy2 Sn1 S3,-1.564280708,-1.713023,0.1487422919999999,-1.593023,28.742292000000003
176,mp-674493,In4 Ni2 S8,In2 Ni1 S4,-0.698516274,-0.7871862,0.0886699259999999,-0.6671862,31.330074000000096
177,mp-18344,Ta4 Tl8 S22,Ta2 Tl4 S11,-0.891767397,-1.0046997,0.11293230300000001,-0.8846997,7.067696999999984
178,mp-1226846,Cd5 Te4 S1,Cd5 Te4 S1,-0.561178367,-0.52858776,0.03259060700000005,-0.40858775999999997,152.59060700000003
179,mp-1775070,Mg2 Ni4 S8,Mg1 Ni2 S4,-0.76158217,-0.88355744,0.12197527000000008,-0.76355744,1.9752700000000845
180,mp-1045420,Mg2 Ti4 S8,Mg1 Ti2 S4,-1.615856746,-1.7451712,0.12931445399999997,-1.6251712,9.314454000000083
181,mp-1002123,K1 Zr1 S2,K1 Zr1 S2,-1.738656963,-1.939675,0.2010180370000001,-1.8196750000000002,81.0180370000002
182,mp-685555,Hg36 As36 S72,Hg1 As1 S2,-0.269914548,-0.40647396,0.13655941200000005,-0.28647396,16.55941200000005
183,mp-5614,Li12 B4 S12,Li3 B1 S3,-1.252635223,-1.2708594,0.018224177000000008,-1.1508593999999999,101.7758230000001
184,mp-675383,Li6 Mo12 S16,Li3 Mo6 S8,-1.014978433,-1.1906089,0.17563046699999996,-1.0706088999999999,55.630466999999854
185,mp-1217039,V4 Cr5 S10,V4 Cr5 S10,-0.975285282,-1.0678153,0.09253001799999994,-0.9478152999999999,27.46998200000006
186,mp-675925,Ce4 Pb2 S8,Ce2 Pb1 S4,-1.837602764,-1.9330661,0.0954633359999999,-1.8130661,24.536664000000208
187,mp-1216724,V1 Fe2 S4,V1 Fe2 S4,-0.901403243,-0.98923385,0.087830607,-0.86923385,32.16939299999999
188,mp-1199685,Cu8 Re12 S24,Cu2 Re3 S6,-0.646466796,-0.761348,0.11488120400000001,-0.641348,5.118795999999981
189,mp-1194376,Ba4 Sm8 S16,Ba1 Sm2 S4,-2.397213271,-2.5045216,0.10730832899999987,-2.3845216,12.691671000000238
190,mp-1193989,Sr4 Tb8 S16,Sr1 Tb2 S4,-2.436427441,-2.5229275,0.08650005900000002,-2.4029275,33.49994100000009
191,mp-1443978,Mg1 Mn4 S8,Mg1 Mn4 S8,-0.992534163,-1.0712216,0.07868743700000014,-0.9512216000000001,41.312562999999855
192,mp-4988,Tl8 As8 S16,Tl1 As1 S2,-0.510845626,-0.651834,0.14098837399999997,-0.531834,20.988373999999975
193,mp-866503,Ca8 Sn4 S16,Ca2 Sn1 S4,-1.677767615,-1.7606742,0.08290658499999992,-1.6406741999999999,37.093415000000185
194,mp-20793,Ga2 Fe1 S4,Ga2 Fe1 S4,-0.807370899,-0.8790511,0.07168020099999994,-0.7590511,48.31979900000005
195,mp-1226065,Co1 Ni5 S8,Co1 Ni5 S8,-0.65757244,-0.77006567,0.11249323,-0.65006567,7.506769999999996
196,mp-1008876,Mn1 Co1 S1,Mn1 Co1 S1,-0.211648407,-0.25376186,0.042113452999999995,-0.13376186,77.88654700000001
197,mp-1202720,Cs16 Te8 S24,Cs2 Te1 S3,-0.991699268,-1.0761163,0.08441703200000006,-0.9561163,35.58296799999994
198,mp-601861,Rb8 In8 S16,Rb1 In1 S2,-1.192810585,-1.2672299,0.0744193150000001,-1.1472299000000001,45.58068499999979
