,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error
242,mp-1208432,Ta6 Mn2 S12,Ta3 Mn1 S6,-1.313102151,-1.4499036,0.13680144900000002,-1.3299036000000002,16.801449000000133
243,mp-1225337,Dy4 Mn1 S7,Dy4 Mn1 S7,-2.156988413,-2.1997492,0.042760786999999745,-2.0797491999999997,77.23921300000036
244,mp-7295,Rb1 Cr5 S8,Rb1 Cr5 S8,-1.089600407,-1.1690336,0.07943319299999985,-1.0490336,40.56680700000004
245,mp-754052,Li3 Fe4 S6,Li3 Fe4 S6,-0.83242109,-0.9673821,0.13496101000000005,-0.8473821,14.961010000000051
246,mp-1215520,Zn2 Ge1 S3,Zn2 Ge1 S3,-0.75686169,-0.8795855,0.12272380999999999,-0.7595855,2.723809999999993
247,mp-1102762,Sm4 As4 S4,Sm1 As1 S1,-1.731975212,-1.7991652,0.06718998799999998,-1.6791652,52.81001200000013
248,mp-1232071,Nd16 Mg8 S32,Nd2 Mg1 S4,-2.112752422,-2.2269993,0.11424687800000033,-2.1069993,5.753121999999777
249,mp-1188392,Li4 In4 S8,Li1 In1 S2,-1.127242539,-1.2799832,0.15274066099999994,-1.1599832,32.74066100000006
250,mp-1105549,Ba4 Hf4 S12,Ba1 Hf1 S3,-2.139200686,-2.2384613,0.09926061399999986,-2.1184613,20.73938600000025
251,mp-37070,Pr4 Sm2 S8,Pr2 Sm1 S4,-2.291501157,-2.4163005,0.12479934300000028,-2.2963005,4.799343000000178
252,mp-1103889,Eu2 Al4 S8,Eu1 Al2 S4,-1.655673241,-1.8139333,0.15826005900000006,-1.6939332999999999,38.260058999999956
253,mp-1247747,Ta1 Cr3 S8,Ta1 Cr3 S8,-1.000188341,-1.1206648,0.12047645899999981,-1.0006648,0.47645899999992913
254,mp-10953,Sc4 Cd2 S8,Sc2 Cd1 S4,-1.793571593,-1.9594333,0.1658617069999999,-1.8394333,45.86170700000003
255,mp-9368,Rb1 Tm1 S2,Rb1 Tm1 S2,-2.092241661,-2.1808932,0.08865153899999978,-2.0608931999999998,31.348461000000327
256,mp-616544,Rb2 Cr6 S10,Rb1 Cr3 S5,-1.109504842,-1.19012,0.08061515800000008,-1.0701200000000002,39.38484199999981
257,mp-1238817,Li2 Cr4 S8,Li1 Cr2 S4,-1.092606321,-1.1953425,0.10273617899999987,-1.0753425,17.263821000000014
258,mp-15999,Li6 Au2 S4,Li3 Au1 S2,-1.188375173,-1.2626309,0.07425572699999994,-1.1426309,45.74427300000017
259,mp-28383,K4 Na4 S4,K1 Na1 S1,-1.285518808,-1.2929579,0.007439092000000036,-1.1729579,112.56090799999984
260,mp-1018632,Ho1 Cu2 S2,Ho1 Cu2 S2,-0.965272918,-1.2208989,0.25562598199999986,-1.1008988999999998,135.62598199999977
261,mp-1106183,Li4 Al4 S8,Li1 Al1 S2,-1.475958337,-1.6458576,0.16989926300000002,-1.5258576000000001,49.89926300000014
262,mp-1104162,Mn4 Zn2 S8,Mn2 Zn1 S4,-0.910286642,-1.0162596,0.10597295799999995,-0.8962595999999999,14.027042000000044
263,mp-686094,Ti36 Cu12 S72,Ti3 Cu1 S6,-1.485946756,-1.5816267,0.09567994400000002,-1.4616267,24.320055999999866
264,mp-557655,Gd1 Tl1 S2,Gd1 Tl1 S2,-1.732895615,-1.8598098,0.12691418500000018,-1.7398098000000002,6.914185000000295
265,mp-6959,Ga2 Ni1 S4,Ga2 Ni1 S4,-0.824087642,-0.9309543,0.10686665800000006,-0.8109543,13.133341999999937
266,mp-1096832,Al8 Zn2 S14,Al4 Zn1 S7,-1.15394405,-1.3874466,0.2335025500000001,-1.2674466,113.50254999999999
267,mp-4123,Er1 Tl1 S2,Er1 Tl1 S2,-1.73406794,-1.8927246,0.1586566599999999,-1.7727246,38.65666000000001
268,mp-1248520,Al20 Bi12 S48,Al5 Bi3 S12,-0.973443429,-1.0543355,0.08089207100000007,-0.9343355000000001,39.10792899999993
269,mp-22332,Ta1 In1 S2,Ta1 In1 S2,-1.10424949,-1.2067989,0.10254940999999995,-1.0867988999999998,17.450590000000155
270,mp-630328,Ba12 Fe4 S20,Ba3 Fe1 S5,-1.761267767,-1.8541195,0.09285173299999983,-1.7341194999999998,27.14826700000028
271,mp-1191745,Sm8 Ni2 S14,Sm4 Ni1 S7,-1.918912605,-2.0773952,0.15848259500000017,-1.9573952000000001,38.48259500000006
272,mp-1216058,Y2 Te1 S2,Y2 Te1 S2,-2.132069582,-2.15509,0.023020417999999765,-2.03509,96.97958200000033
274,mp-1222528,Lu2 Cu6 S6,Lu1 Cu3 S3,-0.989806564,-1.1238343,0.13402773599999995,-1.0038342999999998,14.027735999999846
275,mp-20708,In2 Ni3 S2,In2 Ni3 S2,-0.54809964,-0.58290714,0.03480749999999999,-0.46290714,85.19250000000001
276,mp-622086,La8 Ge4 S20,La2 Ge1 S5,-1.83345575,-1.9320962,0.09864044999999999,-1.8120962,21.359549999999892
277,mp-27660,Ba1 Fe2 S4,Ba1 Fe2 S4,-1.149749231,-1.2335384,0.08378916900000011,-1.1135384,36.210831
278,mp-1221502,Mn1 Zn1 S2,Mn1 Zn1 S2,-1.021535609,-1.0033102,0.018225409000000026,-0.8833102,138.225409
279,mp-5928,Al2 Cd1 S4,Al2 Cd1 S4,-1.14668341,-1.3507705,0.20408709000000003,-1.2307705000000002,84.08709000000015
280,mp-1103471,La4 As4 S4,La1 As1 S1,-1.900869981,-1.8905447,0.010325281000000075,-1.7705446999999999,130.3252810000002
281,mp-1215447,Zn1 Hg1 S2,Zn1 Hg1 S2,-0.678704489,-0.8052139,0.12650941100000002,-0.6852139,6.5094110000000205
282,mp-1443364,Zn2 Ni4 S8,Zn1 Ni2 S4,-0.649955033,-0.8148502,0.16489516699999995,-0.6948502,44.89516699999996
284,mp-1245981,Y4 Pt4 S14,Y2 Pt2 S7,-1.241297142,-1.5323541,0.291056958,-1.4123541,171.05695799999987
285,mp-1189296,Ce4 B4 S12,Ce1 B1 S3,-1.517305853,-1.6345311,0.11722524699999992,-1.5145311000000001,2.774752999999963
286,mp-1222003,Mg1 Cd1 S2,Mg1 Cd1 S2,-1.16627863,-1.3021079,0.1358292699999999,-1.1821079,15.829270000000006
