,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,Hd_MP,Hd_MEGNET
224,mp-14089,Tl2 Cu2 S4,Tl1 Cu1 S2,-0.471226566,-0.6202541,0.149027534,-0.5002541,0.029027534,0.001781703,-0.024083738
225,mp-1197880,Er8 Ag8 S16,Er1 Ag1 S2,-1.557108274,-1.6342434,0.077135126,-1.5142434,0.042864874,0.003718804,0.050133947
226,mp-17980,K8 Mo4 S16,K2 Mo1 S4,-1.108230577,-1.3228675,0.214636923,-1.2028675,0.094636923,-0.030413617,-0.01170812
227,mp-1096842,Ba6 Sn2 S10,Ba3 Sn1 S5,-1.800307834,-1.9160193,0.115711466,-1.7960193,0.004288534,0.042095888,0.047445366
228,mp-1218002,Ta2 Mo1 S6,Ta2 Mo1 S6,-1.302854133,-1.4326414,0.129787267,-1.3126414,0.009787267,0.02090504,0.014424221
229,mp-19804,In2 Co3 S2,In2 Co3 S2,-0.321274862,-0.53826475,0.216989888,-0.41826475,0.096989888,-0.023470938,0.021669742
230,mp-21964,Tl4 Cu28 S16,Tl1 Cu7 S4,-0.327291723,-0.41431955,0.087027827,-0.29431955,0.032972173,0.01383955,0.048184037
231,mp-561511,Fe4 As4 S4,Fe1 As1 S1,-0.61334042,-0.7037938,0.09045338,-0.5837938,0.02954662,-0.061530749,-0.02767952
232,mp-774745,Li12 Cu4 S12,Li3 Cu1 S3,-0.981519534,-1.1169647,0.135445166,-0.9969647,0.015445166,0.078384173,0.126065302
233,mp-1208432,Ta6 Mn2 S12,Ta3 Mn1 S6,-1.313102151,-1.4499036,0.136801449,-1.3299036,0.016801449,0.02098608,0.008075425
234,mp-1225337,Dy4 Mn1 S7,Dy4 Mn1 S7,-2.156988413,-2.1997492,0.042760787,-2.0797492,0.077239213,0.02429645,0.029070549
235,mp-7295,Rb1 Cr5 S8,Rb1 Cr5 S8,-1.089600407,-1.1690336,0.079433193,-1.0490336,0.040566807,-0.021775724,0.019882341
236,mp-754052,Li3 Fe4 S6,Li3 Fe4 S6,-0.83242109,-0.9673821,0.13496101,-0.8473821,0.01496101,0.193199783,0.179120173
237,mp-1215520,Zn2 Ge1 S3,Zn2 Ge1 S3,-0.75686169,-0.8795855,0.12272381,-0.7595855,0.00272381,0.118158029,0.11638907
238,mp-1102762,Sm4 As4 S4,Sm1 As1 S1,-1.731975212,-1.7991652,0.067189988,-1.6791652,0.052810012,-0.083410921,-0.0262963
239,mp-1232071,Nd16 Mg8 S32,Nd2 Mg1 S4,-2.112752422,-2.2269993,0.114246878,-2.1069993,0.005753122,0.047662367,0.058819599
240,mp-1188392,Li4 In4 S8,Li1 In1 S2,-1.127242539,-1.2799832,0.152740661,-1.1599832,0.032740661,-0.099247941,-0.074312803
