,Limiting_reaction,Name,delta_H,dGr_lim
369,II step,As4S3/As8S9,-0.025997498476889702,0.237997409765756
228,II step,BaS/Ba2S3,0.40997444174999953,0.24286998488508793
452,II step,Li2CrS3/Li2CrS4,0.12908140581349214,0.24313425286680523
66,II step,CsS/Cs2S5,0.36641442511160505,0.24452289583839293
346,II step,KS/K2S3,0.1545014752604159,0.24671037259195883
2,I step,Er5S7/ErS2,0.4123718446267357,0.2504672472887943
340,II step,K2S/K2S5,0.5476744878571432,0.2505786359824931
356,II step,Co2S3/CoS2,0.02529364681249957,0.2512405442180561
349,II step,PtS/PtS2,0.09356206119791582,0.2533199829916172
326,II step,Ir2S3/Ir3S8,0.06641138823295178,0.2536264152702762
342,I step,K2S/KS3,0.6298758278906254,0.25428215300665447
200,II step,La2S3/LaS2,0.36622491706250093,0.2553086427690694
489,II step,AgAsS/AgAsS2,-0.044746518593749895,0.25798228393339595
332,I step,Eu2S3/EuS2,0.2763370012916653,0.2589406654202886
120,II step,V3S4/V3S5,0.13900132433035073,0.2620669737432699
368,I step,As4S3/As4S5,-0.0239538112301583,0.2627255249206767
381,II step,PbS/PbS2,0.16227778291666395,0.2715597774544172
172,II step,In6S7/In3S4,0.03227972226992004,0.27613515716453385
62,I step,Cs2S3/Cs2S5,0.2271845928928551,0.2768165443320423
184,I step,Ce2S3/CeS2,0.36007102697916604,0.27972714374483054
67,I step,CsS/CsS3,0.4552562080468743,0.2822807333239107
519,I step,Cu12As4S13/Cu3AsS4,0.0037506896928869993,0.2840056179177308
390,I step,Cr2S3/CrS2,0.1242532901666652,0.2843379695721513
367,I step,As4S3/As2S3,-0.025917417410712795,0.2899769805357283
407,I step,Pr2S3/PrS2,0.35463355159027765,0.29053886206382096
121,II step,V3S4/V5S8,0.10970090714285008,0.2946940003170777
507,II step,Cu12Sb4S13/Cu3SbS4,-0.0012592132058209526,0.29896519913170705
173,II step,In6S7/In5S8,0.06493848747596498,0.30222258876424846
370,II step,As4S3/AsS,-0.02908416662946378,0.30336925627841693
238,I step,Cu3S2/CuS2,-0.02762172575000202,0.3061325074499658
499,II step,Co3Ni3S8/CoNiS4,0.06288406428571436,0.3145145552035631
249,I step,Nd2S3/NdS2,0.36071073264583253,0.3160735452121628
165,II step,In3S4/In5S8,0.03265876520604494,0.31852723351406986
147,II step,Bi2S3/BiS2,0.05383044999999931,0.3229614224756805
464,II step,CrCuS2/CrCuS4,0.12355887458333292,0.3244118233497677
358,I step,Co3S4/CoS2,0.05746723116071489,0.32707148184694135
472,II step,Li2BiS3/Li4Bi2S7,0.05245516793803384,0.330846290302528
63,I step,Cs2S3/CsS3,0.3160263758281243,0.33185500182496863
65,II step,CsS/Cs2S3,0.13922983221874996,0.34002864017926315
70,I step,MnS/MnS2,0.3410151361117103,0.3401365877155005
269,I step,Na2S/NaS,0.2651342320312504,0.34157590849333097
132,I step,V5S8/V3S5,0.02930041718750065,0.3420277005519665
347,I step,KS/K2S5,0.3991076368675591,0.34368192114697327
245,I step,Cu9S5/CuS2,-0.002440787686013607,0.3438898430675351
375,I step,As8S9/As4S5,0.0020436872467314016,0.3441346249799748
374,I step,As8S9/As2S3,8.008106617690691e-05,0.3443648028372126
372,I step,As4S5/As2S3,-0.0019636061805544947,0.3444798917658314
61,II step,Cs2S/CsS3,0.5414885175781243,0.34474096572333
496,I step,Na3SbS3/Na3SbS4,0.10984108479910604,0.34840554130628476
68,II step,Mn2S3/MnS2,0.1036990124446836,0.34851692487316566
450,II step,Sb2Pb2S5/Sb6Pb6S17,0.01811747243295081,0.34875248057280217
377,I step,AsS/As2S3,0.003166749218750986,0.34985681494280085
336,I step,EuS/Eu3S4,0.3216695669419667,0.3518133133737109
348,I step,KS/KS3,0.48130897690104124,0.35260620010104116
48,II step,Ni3S4/NiS2,0.06708644547618903,0.3540495660270939
338,I step,MgS/MgS2,0.5077027954166664,0.354531943536081
378,I step,AsS/As4S5,0.005130355399305481,0.3552337381197703
513,II step,LiVS2/Li2V2S5,0.11795380106481379,0.36092392917148075
39,II step,Tb5S7/TbS2,0.3898456868489597,0.36230541790327386
379,I step,AsS/As8S9,0.003086668152574079,0.36633285125956583
236,I step,Cu2S/CuS2,0.019465743923607504,0.3678251331567119
495,II step,K3SbS3/K3SbS4,0.09511665714285678,0.3698824933132556
398,I step,Cr5S8/CrS2,0.10958102012820559,0.3719671741319459
112,I step,PdS/PdS2,0.11937090244791493,0.37258499327192685
206,II step,La5S8/La4S7,0.09999650315122421,0.37585528694891934
345,I step,K2S5/KS3,0.08220134003348212,0.37937903696324504
150,II step,Tl2S/Tl4S3,0.016299070446429142,0.38241233382557427
270,I step,Na2S/NaS2,0.5637136761458342,0.38737348339295785
108,II step,Pd3S/PdS2,-0.07583242700520881,0.38954942311601537
151,II step,Tl2S/TlS,0.036580965572913626,0.3908899161552648
176,II step,InS/In5S8,0.06262597179086704,0.39096642110908353
44,II step,Ni3S2/Ni9S10,0.02334230442105234,0.39193294855802874
344,I step,K2S3/KS3,0.32680750164062533,0.3945162016653745
153,II step,Tl4S3/TlS,0.020281895126484484,0.39936749848495534
343,I step,K2S3/K2S5,0.2446061616071432,0.4020847840164392
241,I step,Cu7S4/CuS2,0.051354034678028904,0.4048575416321013
447,II step,FeCu3S4/FeCu3S8,0.010034964166666938,0.40591040260719935
362,II step,Co9S8/CoS2,-0.015508063492647328,0.40646474411780886
459,I step,Sr2SnS4/Sr2SnS5,0.1773259440011139,0.4091600075306978
268,I step,Na2S/Na2S5,0.6620923457142862,0.40980479230684175
272,I step,NaS/NaS2,0.2985794441145838,0.4102722708427713
486,II step,LiTiS2/Li2Ti2S5,0.16266917504629586,0.41291340783156194
