,Limiting_reaction,Name,delta_H,dGr_lim
299,II step,Zr2S/ZrS3,-0.31004893354166896,1.6573386546018365
434,II step,Li9Sb3S/Li3SbS3,-0.41102415288461513,1.6694942924334404
31,II step,NbS/NbS2,-0.1958941495833313,1.6888224054634744
239,I step,Cu7S4/Cu3S2,0.07897576042803092,1.702950332740376
96,II step,Ti9S10/Ti5S8,-0.019573448805669136,1.7072347604859202
116,II step,V3S/V5S8,-0.5756533009374998,1.7227534798308008
95,II step,Ti9S10/Ti2S3,-0.02979025658771861,1.78036988988468
170,II step,In5S4/InS,-0.15532514960069477,1.7861615026320612
19,II step,Nb5S8/Nb3S5,-0.016581234631410258,1.7865304738551657
154,II step,Tl6S/Tl2S,-0.3876868273511842,1.7916316264898828
475,II step,Ta2NiS4/Ta2NiS5,-0.07703832746130979,1.798959031689182
301,II step,Zr3S4/ZrS2,0.012563506488096232,1.7992610672236333
11,II step,Nb14S5/NbS2,-0.6891257225438598,1.8206799269002565
281,II step,Ta3S2/TaS2,-0.42809382504444393,1.823223200070047
310,II step,Zr9S2/ZrS3,-0.8732586277840891,1.8446128715662926
490,II step,Ti3VS4/Ti3VS6,-0.07487410075000045,1.8513009986108004
394,II step,Cr5S6/Cr2S3,-0.12475260304545377,1.8519194098845384
76,II step,Ti2S/TiS2,-0.35269587888888965,1.8655197989863903
159,II step,Mo2S3/MoS2,-0.19209084385416497,1.8716387668683634
333,I step,Eu3S4/Eu2S3,0.24102208129761893,1.889960518168806
164,II step,In3S4/In2S3,-0.09006612936607084,1.9028933371611938
277,II step,Ta2S/TaS2,-0.6144288364444445,1.904074806548829
117,II step,V3S/VS,-0.4738617209374991,1.9135518724088618
211,II step,LaS/La5S8,0.10197357186298195,1.9151426911833953
261,II step,Nd5S4/NdS2,-0.027218428402783212,1.9202859733362194
283,II step,Ta5S8/Ta7S12,-0.025483365265853042,1.9372710904481778
280,II step,Ta3S2/Ta7S12,-0.4270635253017565,1.950742381029866
279,II step,Ta3S2/Ta5S8,-0.40158016003590347,1.952391926815379
290,II step,Ta6S/TaS2,-1.0517870840158727,1.9529661061249848
126,II step,V5S4/V3S4,-0.22000602047618334,1.9641889661792393
93,II step,Ti8S3/TiS2,-0.5883249155050496,1.9983463913798634
427,II step,Ta4MoS8/Ta4MoS10,-0.11404087500683624,2.0200014135722464
217,II step,HfS/HfS2,-0.1154894779687472,2.0237641615919135
10,II step,Nb14S5/NbS,-0.49323157296052855,2.025791626913028
312,II step,ZrS/Zr5S8,-0.07764181798076897,2.027931001069023
276,II step,Ta2S/Ta7S12,-0.613398536701757,2.033115262234661
275,II step,Ta2S/Ta5S8,-0.587915171435904,2.0430730982644256
289,II step,Ta6S/Ta7S12,-1.0507567842731853,2.063239318969466
9,II step,Nb14S5/Nb7S8,-0.5682354672105285,2.06542247884404
514,II step,Li3VS3/Li3VS4,-0.01306334017857158,2.0658724842352942
73,II step,Ti2S/Ti7S12,-0.41752710874268906,2.0713690065822186
288,II step,Ta6S/Ta5S8,-1.0252734190073323,2.073283297323323
7,II step,Nb14S5/Nb3S5,-0.7607331835855282,2.0876432319572107
320,II step,Dy5S7/Dy2S3,-0.00039227104687444836,2.094137273330915
8,II step,Nb14S5/Nb5S8,-0.744151948954118,2.103794874154256
259,II step,Nd5S4/Nd5S9,-0.08950035968254144,2.1094138789211043
23,II step,Nb7S8/Nb3S5,-0.19249771637499968,2.120974361626968
113,II step,V3S/V3S4,-0.6853542080803499,2.1262667960590083
28,II step,NbS/Nb3S5,-0.26750161062499966,2.147285851106959
313,II step,ZrS/ZrS2,-0.1635879570833334,2.155263651898961
24,II step,Nb7S8/Nb5S8,-0.17591648174358943,2.1697474285936895
286,II step,Ta6S/Ta2S,-0.43735824757142827,2.172976954217685
72,II step,Ti2S/Ti5S8,-0.44128449482906196,2.1773612079797386
38,II step,Tb5S7/Tb2S3,-0.0040027897968748505,2.1847080787769286
29,II step,NbS/Nb5S8,-0.2509203759935894,2.1873697819127136
90,II step,Ti8S3/Ti7S12,-0.653156145358849,2.2133193459773555
395,II step,Cr5S6/Cr3S4,-0.076972605974027,2.2384288377106554
30,II step,NbS/Nb7S8,-0.07500389424999998,2.243761312533593
71,II step,Ti2S/Ti2S3,-0.45150130261111143,2.252815291939749
258,II step,Nd5S4/Nd4S7,-0.13554397005997854,2.2539976224634644
264,II step,NdS/Nd3S4,-0.018814307165178512,2.2835225788982942
423,II step,SmEuS2/Sm3Eu3S8,-0.012046520892856183,2.287134625604473
224,II step,SmS/Sm3S4,-0.02371745196428332,2.2987268115802557
287,II step,Ta6S/Ta3S2,-0.6236932589714288,2.2989471889381514
354,II step,GdS/Gd3S4,-0.028345770558035,2.3004666763210295
6,II step,Nb14S5/Nb3S4,-0.7275368742105297,2.301947493863157
413,II step,PrS/Pr3S4,-0.024590955438992257,2.30956429351429
115,II step,V3S/V5S4,-0.4653481876041665,2.3114986016358863
89,II step,Ti8S3/Ti5S8,-0.6769135314452219,2.321739196971759
303,II step,Zr5S8/ZrS2,-0.08594613910256443,2.3462626281438688
298,II step,Zr2S/ZrS2,-0.5837042575000029,2.3668602294241143
296,II step,Zr2S/Zr5S8,-0.49775811839743844,2.3743502662532956
215,II step,Hf2S/HfS2,-0.6352752926041656,2.3754568597949834
323,II step,DyS/Dy3S4,-0.039026108772323376,2.3971771333509793
88,II step,Ti8S3/Ti2S3,-0.6871303392272714,2.401643092846614
209,II step,LaS/La3S4,-0.02921018448660684,2.486789507303472
512,II step,CaSm2S3/Ca(SmS2)2,-0.050423073511908445,2.5081801874939487
399,II step,ScS/Sc2S3,-0.09625055328124876,2.5413519490285017
199,I step,La2S3/La5S8,0.1797709156442302,2.542122374019229
386,II step,Y5S7/Y2S3,-0.00406212896354452,2.5454448723258523
309,II step,Zr9S2/ZrS2,-1.1469139517424232,2.5486134473650965
274,II step,Ta2S/Ta3S2,-0.18633501140000053,2.550887658379085
135,II step,VS/V3S4,-0.21149248714285074,2.5516966433593007
74,II step,Ti2S/Ti9S10,-0.4217110460233928,2.5534623659747933
474,II step,SmGdS2/SmGdS3,-0.07566701649999619,2.5890134636870634
412,II step,PrS/Pr2S3,-0.08174725511458547,2.603938334487113
263,II step,NdS/Nd2S3,-0.0794186010312492,2.605199510494513
307,II step,Zr9S2/Zr5S8,-1.0609678126398587,2.6073604593970665
401,II step,Ho5S7/Ho2S3,-0.007328507713541654,2.6175774086410115
1,II step,Er5S7/Er2S3,-0.008525705074651668,2.63309601529307
223,II step,SmS/Sm2S3,-0.09278291325000021,2.6487598893301705
353,II step,GdS/Gd2S3,-0.10104142428125096,2.6504154393040302
439,II step,Li7Sb2S/Li7(SbS)2,-0.18748294892424233,2.6697335369034523
476,II step,YScS2/YScS3,-0.12801439153124727,2.714054840294107
91,II step,Ti8S3/Ti9S10,-0.6573400826395528,2.7298628981849964
208,II step,LaS/La2S3,-0.07779734378124825,2.7307422951431413
40,II step,TbS/Tb2S3,-0.11913443878125074,2.7782870848682375
297,II step,Zr2S/ZrS,-0.4201163004166695,2.7900533844744215
322,II step,DyS/Dy2S3,-0.13173408878125148,2.8186369848352495
295,II step,Zr2S/Zr3S4,-0.5962677639880991,2.8209395591844997
27,II step,NbS/Nb3S4,-0.23430530125000115,2.8345338086955474
311,II step,ZrS/Zr3S4,-0.17615146357142963,2.867268821249615
188,II step,CeS/Ce3S4,-0.11130387341517745,2.891732550855245
163,I step,In2S3/In5S8,0.12272489457211577,2.8959538551322055
387,II step,YS/Y2S3,-0.1400892537812517,2.920655132985347
41,II step,TbS/Tb5S7,-0.11513164898437589,2.926681836391065
75,II step,Ti2S/TiS,-0.4647052406944452,2.9288745931549225
441,II step,LaTmS2/LaTmS3,-0.14261767128125058,2.950752850213611
403,II step,HoS/Ho2S3,-0.15567016961458302,2.982005165704094
306,II step,Zr9S2/Zr3S4,-1.1594774582305192,2.9982248754499743
324,II step,DyS/Dy5S7,-0.13134181773437703,2.9997619127113335
422,I step,Al2S3/Al5S8,0.12761152511057805,3.013894393533473
388,II step,YS/Y5S7,-0.13602712481770718,3.0144576981502205
187,II step,CeS/Ce2S3,-0.1675844457812472,3.02428353121449
3,II step,ErS/Er2S3,-0.17100688711458467,3.0321025483692576
308,II step,Zr9S2/ZrS,-0.9833259946590897,3.0543488986787
92,II step,Ti8S3/TiS,-0.7003342773106052,3.0615527745442463
404,II step,HoS/Ho5S7,-0.14834166190104137,3.073112104969864
214,II step,Hf2S/HfS,-0.5197858146354184,3.078842256201124
4,II step,ErS/Er5S7,-0.162481182039933,3.131854181638305
143,II step,Tm8S11/Tm5S7,-0.009523246920227546,3.16772634630928
408,II step,Pr3S4/Pr2S3,-0.057156299675593214,3.1926864164327604
145,II step,TmS/Tm5S7,-0.17679725148437386,3.200301117141697
146,II step,TmS/Tm8S11,-0.16727400456414632,3.2024727685305248
