,Limiting_reaction,Name,delta_H,dGr_lim
420,I step,SbS/Sb2S3,-0.13047510828124667,0.04777538915624413
206,I step,La5S8/La4S7,0.09999650315122421,0.09773128105108242
39,I step,Tb5S7/TbS2,0.3898456868489597,0.11128115009672612
450,I step,Sb2Pb2S5/Sb6Pb6S17,0.01811747243295081,0.12483408742719782
48,II step,Ni3S4/NiS2,0.06708644547618903,0.12633474010843893
61,I step,Cs2S/CsS3,0.5414885175781243,0.12884560227666997
447,II step,FeCu3S4/FeCu3S8,0.010034964166666938,0.13057343747859873
44,II step,Ni3S2/Ni9S10,0.02334230442105234,0.1311061026548428
495,II step,K3SbS3/K3SbS4,0.09511665714285678,0.13295592588142924
65,I step,CsS/Cs2S3,0.13922983221874996,0.13355792782073683
493,II step,Li2Ni2S3/LiNiS2,0.033040580833334166,0.14176714919952182
362,II step,Co9S8/CoS2,-0.015508063492647328,0.14273092858826275
472,I step,Li2BiS3/Li4Bi2S7,0.05245516793803384,0.142740277697472
491,II step,RbBS2/RbBS3,0.11528362375000989,0.14396251998165388
150,II step,Tl2S/Tl4S3,0.016299070446429142,0.1488558357644969
464,I step,CrCuS2/CrCuS4,0.12355887458333292,0.14917474465023228
147,I step,Bi2S3/BiS2,0.05383044999999931,0.1506251455243195
176,II step,InS/In5S8,0.06262597179086704,0.15400304007517995
165,I step,In3S4/In5S8,0.03265876520604494,0.15505933448593012
68,II step,Mn2S3/MnS2,0.1036990124446836,0.15589334572129898
231,II step,BaS2/BaS3,0.3186609889583343,0.15803698417031686
108,II step,Pd3S/PdS2,-0.07583242700520881,0.15845599608557118
499,I step,Co3Ni3S8/CoNiS4,0.06288406428571436,0.1590720127964369
370,I step,As4S3/AsS,-0.02908416662946378,0.17021731172158305
173,I step,In6S7/In5S8,0.06493848747596498,0.17136397923575153
339,II step,K2S/K2S3,0.30306832625,0.17283738288368666
507,I step,Cu12Sb4S13/Cu3SbS4,-0.0012592132058209526,0.17462136886829294
151,II step,Tl2S/TlS,0.036580965572913626,0.17768739384235743
513,II step,LiVS2/Li2V2S5,0.11795380106481379,0.1778451823250169
121,I step,V3S4/V5S8,0.10970090714285008,0.17889256768292228
240,II step,Cu7S4/CuS,-0.0463005006865532,0.18539542506702472
53,II step,Ni9S8/NiS,0.0003440266911759471,0.18929959368635174
111,II step,Pd4S/PdS2,-0.1307741216458349,0.19317911065035842
172,I step,In6S7/In3S4,0.03227972226992004,0.19745141083546613
106,II step,TiS2/TiS3,0.26585181215277776,0.20132218941941904
381,I step,PbS/PbS2,0.16227778291666395,0.2020267905455828
59,II step,Cs2S/Cs2S5,0.4526467346428551,0.2047447899468502
153,II step,Tl4S3/TlS,0.020281895126484484,0.20651895192021796
460,II step,KBS2/K2B2S7,0.1535520328617429,0.20939416311641246
175,II step,InS/In3S4,0.029967206584822104,0.21012568268919685
120,I step,V3S4/V3S5,0.13900132433035073,0.21151959425673006
489,I step,AgAsS/AgAsS2,-0.044746518593749895,0.21560428406660403
365,II step,CoS/CoS2,-0.0787606304687512,0.2168567449876999
200,I step,La2S3/LaS2,0.36622491706250093,0.2182779252309306
326,I step,Ir2S3/Ir3S8,0.06641138823295178,0.2199601527297238
349,I step,PtS/PtS2,0.09356206119791582,0.2202665850083828
34,II step,Sn2S3/SnS2,-1.3610687499499008e-05,0.22078594422127384
356,I step,Co2S3/CoS2,0.02529364681249957,0.2223460237819439
340,I step,K2S/K2S5,0.5476744878571432,0.2230079320175069
36,II step,SnS/SnS2,-0.0017283042187490882,0.22625177778288125
346,I step,KS/K2S3,0.1545014752604159,0.22687619540804116
66,I step,CsS/Cs2S5,0.36641442511160505,0.22906367216160706
452,I step,Li2CrS3/Li2CrS4,0.12908140581349214,0.23045231513319475
228,I step,BaS/Ba2S3,0.40997444174999953,0.23071658311491205
