,Limiting_reaction,Name,delta_H,dGr_lim
3473,I step,Sc2PdS4/Sc2PdS5,0.16412425100000005,0.21328617799999883
5983,II step,Cu3IrS4/Cu3IrS8,-0.02525657500000006,0.21353084999999994
5823,II step,RbGeS3/Rb2Ge2S7,0.05641114699999994,0.21356860400000066
9526,II step,GeAu3S2/GeAu3S8,-0.10120737500000004,0.21363830683333337
7560,I step,KGeS3/KGeS4,0.099227548,0.21371272100000027
2725,II step,Ge3RhS3/Ge3RhS6,0.05210024099999999,0.21374302533333345
7744,I step,ZrPbS3/ZrPbS4,0.20758521499999993,0.21383641300000011
1956,II step,CdPt2S3/Cd(PtS3)2,0.07124191499999999,0.21388642933333335
8825,II step,NbTeS3/NbTeS4,0.030657529999999933,0.21398744700000005
9207,I step,AlTlS2/Al2Tl2S7,0.22719061400000007,0.21402780700000035
9659,II step,SbAuS2/SbAuS4,-0.03311038000000005,0.21407745199999995
2797,II step,NbVS4/NbVS6,0.1832616330000001,0.21409757900000015
7321,II step,CsCrS2/CsCrS3,0.15546345699999997,0.21414894100000037
4483,I step,Ag2MoS4/Ag2MoS6,0.147018551,0.21417791149999976
6320,I step,Na2Cr2S5/NaCrS3,0.05911946300000004,0.21426779299999943
1687,II step,YRhS3/YRhS6,0.38426649599999996,0.21433702200000004
4192,II step,Co(SbS2)2/CoSb2S5,0.06191360999999995,0.21442254299999997
10069,II step,Sr2CaS3/Sr2CaS5,0.47038160000000007,0.21453417499999983
662,II step,Na2Pd2S3/NaPdS3,0.11778396400000002,0.21463145266666683
2770,I step,SnGeS2/SnGeS4,0.194611549,0.21466516650000012
7493,II step,Cr2NiS4/Cr2NiS6,0.10959196100000002,0.21466551600000017
5160,II step,SrPtS3/SrPtS4,0.10595893800000011,0.21468347699999946
5971,I step,CuIrS3/CuIrS6,0.08951890499999998,0.21477648533333338
7099,II step,GeIrS2/GeIrS6,0.07506525600000002,0.2150178587499999
3338,I step,Ga3AuS3/Ga3AuS8,0.15827536600000003,0.21506504199999976
5219,II step,ZrAu2S3/ZrAu2S5,0.129454136,0.2150824754999996
7549,I step,LaCu2S3/LaCu2S5,0.19563853799999986,0.21513237349999992
3460,II step,Sr(CuS)2/Sr(CuS2)2,0.08244907900000009,0.21514751799999976
6905,I step,ZnAsS2/ZnAsS4,0.15126049500000005,0.21516463949999998
6712,I step,TaAu2S3/Ta(AuS3)2,0.214077116,0.21517784633333314
703,II step,KTcS2/K2Tc2S7,0.1636391880000001,0.2152959016666669
8186,I step,TaPt2S5/Ta(PtS3)2,0.08388709999999988,0.21532943999999965
5304,I step,Sc(AuS)3/Sc(AuS2)3,0.17506283600000005,0.2154786329999998
1423,II step,TcRhS4/TcRhS6,0.10256636200000002,0.21554425350000006
2534,II step,VReS4/VReS6,0.1354503629999999,0.2157877469999998
9670,II step,PtAuS2/PtAuS4,0.015576182999999966,0.21589305650000012
7362,II step,LiZrS2/Li2Zr2S5,0.15829742000000002,0.21597819800000018
7958,I step,BeTe3S4/BeTe3S8,0.015632689000000033,0.21600840075000005
3523,I step,Ni(OsS2)2/Ni(OsS3)2,0.07903349400000004,0.21621636599999983
7992,I step,InBiS2/InBiS6,0.23036271399999997,0.2162430127499999
8731,I step,ReSnS4/ReSnS6,0.11487543600000005,0.21631070450000012
7986,I step,KAsS2/KAsS3,0.12661409299999993,0.21650485799999997
3298,I step,GaAu3S2/Ga2Au6S7,0.019267798000000003,0.21666173633333363
857,II step,HfCu2S3/HfCu2S5,0.145480037,0.21674689699999972
2233,I step,K2Rh2S5/KRhS3,0.06300699700000012,0.21682057599999993
9644,II step,TiTlS2/Ti2Tl2S7,0.22091341100000017,0.21691394733333347
5763,II step,YTe3S4/YTe3S8,0.06740283899999999,0.21699142250000003
2900,II step,KOsS2/KOsS4,0.15124154099999998,0.2170631555
9881,II step,Ba(Ag2S3)2/Ba(AgS2)4,0.005542814000000007,0.21729124900000008
5054,I step,VHgS2/VHgS6,0.325901389,0.21743576900000006
8209,II step,Tc(OsS2)2/Tc(OsS3)2,0.08015131899999994,0.21746108500000005
5992,I step,La4Bi4S11/LaBiS4,0.23654700000000006,0.2174668392000001
5500,II step,Cd(RhS2)2/Cd(RhS3)2,0.06734561900000002,0.21756707899999994
500,II step,TeWS3/TeWS4,0.01627749200000006,0.21758238699999977
7485,I step,CrNiS2/CrNiS6,0.258189201,0.21791852774999998
497,I step,RbAgS3/RbAgS4,-0.005527318000000059,0.2179821460000002
5742,II step,TiPtS4/TiPtS6,0.1502550840000001,0.21802571000000004
7619,II step,MnFeS2/MnFeS6,0.07127308899999996,0.21807501175
6527,II step,InSnS3/InSnS4,-0.009892881000000076,0.21810893899999995
815,I step,CrHg3S4/CrHg3S8,0.04727619900000002,0.21817485849999996
1073,II step,InSbS3/InSbS6,0.047691761999999915,0.21824917433333324
528,II step,FeRhS2/FeRhS6,0.11375963700000002,0.21826339400000005
2695,II step,Rb2CuS2/Rb2CuS4,0.12328493600000001,0.21833685300000005
324,II step,TeIrS2/TeIrS4,0.031230509000000017,0.21854522900000006
9626,II step,Ni2Au2S3/NiAuS3,-0.05755996699999999,0.2185705893333333
3663,II step,CaPdS2/CaPdS4,0.2897651189999999,0.21859941150000006
4232,II step,Ga2CoS2/Ga2CoS3,-0.0046853429999998975,0.21861690199999995
6357,I step,FeSb2S5/Fe(SbS3)2,0.045776664999999994,0.21862034399999963
8394,II step,Re2NiS5/Re2NiS6,0.03268325299999997,0.21875740999999937
444,II step,HfPbS3/HfPbS6,0.38259923399999995,0.21882122766666656
4925,I step,Ca2In2S5/Ca4In4S11,0.061200857,0.21883004800000094
6353,II step,Sr2MnS3/Sr4Mn2S7,0.12357044199999989,0.21905669999999944
572,II step,AgBiS2/AgBiS3,0.018784582999999966,0.21922684400000003
5871,II step,RbVS3/RbVS6,0.29024767900000015,0.21934798833333335
3504,II step,Tl3RhS3/Tl3RhS4,0.010378003000000025,0.21937541399999994
10238,I step,Ga3GeS4/Ga3GeS8,0.18806833099999998,0.219409301
5097,I step,Te3RuS4/Te3RuS8,0.02451825099999999,0.21958999899999998
5214,I step,Zr(Au2S3)2/Zr(AuS2)4,0.07202994800000007,0.21968302949999963
9705,II step,Mg(AuS)3/MgAu3S8,-0.025847196999999933,0.21972504580000007
7536,II step,RbReS3/RbReS4,0.09035444200000009,0.21975280499999972
5838,II step,KMoS2/KMoS4,0.16453886000000018,0.2197693274999999
3136,II step,SrSnS3/SrSnS4,0.11437571099999988,0.2197721399999999
4114,II step,Bi2IrS4/Bi2IrS5,0.01780414600000002,0.21980057499999983
6726,II step,AlPtS3/AlPtS4,0.037522434999999965,0.21983925400000004
9353,II step,ReRuS4/ReRuS6,0.08528506800000002,0.21986013800000004
6452,II step,MnAuS2/MnAuS4,0.01681923900000004,0.21987999849999995
1739,II step,AsRhS2/AsRhS3,0.05183076800000008,0.21990805800000013
7568,II step,Zn(AuS)3/ZnAu3S8,-0.058303714000000006,0.21991620180000004
7351,II step,Li2Cr2S5/LiCrS4,0.04603552799999999,0.21993674333333324
6801,II step,Cd3GeS4/Cd3GeS8,0.06226909200000008,0.22016511150000007
2321,I step,CuNi3S4/CuNi3S8,0.08526665,0.2202090834999999
9076,II step,FeIrS3/FeIrS6,0.06556367899999993,0.22024443466666666
8814,II step,Ga2TeS2/Ga2TeS5,0.08508229200000006,0.22031473066666662
1028,I step,GeWS4/GeWS6,0.11864453600000002,0.22038431849999984
4640,II step,MnBiS2/MnBiS4,0.01957064799999997,0.2205147635000001
5524,II step,InTeS2/InTeS4,0.07556122600000004,0.22058832500000003
4226,II step,Y(CrS2)2/YCr2S5,0.06628477599999982,0.22059401599999973
8388,II step,Re3Ni3S8/ReNiS6,0.07723051299999995,0.22065031619999986
8177,II step,Sn(SbS2)2/Sn(SbS3)2,0.040002345999999966,0.22068122899999998
1570,I step,MgAsS2/MgAsS4,0.23554885400000003,0.22085660400000018
5996,I step,AlSbS2/AlSbS6,0.340149641,0.22090125900000002
10052,I step,Cs2Ge2S5/CsGeS4,0.18933296199999994,0.22108330500000006
5904,II step,RbMnS2/RbMnS4,0.21128630699999995,0.221100646
7304,I step,HfIr2S5/Hf(IrS3)2,0.09632933099999996,0.22124385799999935
6902,II step,ZnAs3S4/ZnAs3S8,-0.005237758000000037,0.22130642074999995
5591,II step,CdPdS3/CdPdS4,0.01293969099999992,0.22135996000000002
9605,II step,Ni(AuS)4/Ni(Au2S3)2,-0.041793762999999984,0.22143473149999998
3110,II step,Li2VS3/Li2VS4,0.1178430319999999,0.22157207799999945
5412,I step,LiHgS2/Li2Hg2S9,0.270312071,0.22162220340000005
5306,I step,ScAu3S4/Sc(AuS2)3,0.12573343599999998,0.22163798899999998
3314,I step,GaAu2S3/Ga(AuS2)2,0.030186354999999998,0.22204450999999992
4155,II step,KTaS3/KTaS6,0.3443009859999999,0.22206414066666635
3427,II step,PdRhS2/PdRhS4,0.10138315000000009,0.2220843065
6607,II step,VGe3S4/VGe3S8,0.06216418700000004,0.22213888749999988
5455,II step,AgWS2/AgWS6,0.22726762299999992,0.2222421925
7550,II step,La(CuS2)2/LaCu2S5,0.10654854799999991,0.22225503500000077
4399,I step,HgBiS2/HgBiS4,0.07631587899999998,0.22230707900000002
6369,II step,NaVS2/NaVS4,0.24027061399999994,0.22235562900000017
6707,II step,TaAu3S4/Ta(AuS2)3,0.03942507500000003,0.22237758800000007
7889,I step,RePdS4/RePdS6,0.11986690700000002,0.22238446649999988
7442,II step,Cr2Ge2S5/CrGeS6,0.08093964999999992,0.22241106600000005
9387,II step,TlCoS3/TlCoS4,0.037120522000000045,0.22246496400000026
302,II step,Cs2Zr2S5/Cs2Zr2S9,0.4054576160000001,0.22258561250000009
4248,II step,InPb2S3/InPb2S5,0.09464120899999995,0.22266143250000003
5623,II step,Mn2TeS4/Mn2TeS5,0.03736168200000001,0.22268097200000003
6490,II step,MnAg4S3/Mn(AgS)4,-0.06217300800000003,0.22278783599999996
6868,I step,MnPdS2/MnPdS6,0.25854611400000005,0.22283117325000013
4638,II step,Mn(BiS2)2/MnBi2S5,-0.0029330250000000335,0.22296558099999997
2877,I step,LaAuS2/La2Au2S5,0.13385105200000003,0.2230751160000004
9468,I step,NaCoS2/NaCoS4,0.18412655599999994,0.22321825449999988
2669,I step,Sn2PbS4/Sn2PbS5,0.06668037199999999,0.2232669739999995
