,Limiting_reaction,Name,delta_H,dGr_lim
6871,I step,Mn2Pd2S5/MnPdS6,0.17664188199999997,0.2368325640000002
6288,II step,Tl2Au2S3/TlAuS6,0.107187331,0.237024057
6577,II step,In(PtS2)2/InPt2S5,0.07903659299999999,0.2370794190000005
8004,I step,RbCrS2/RbCrS6,0.45496565099999986,0.23717540274999993
8426,I step,TcHgS2/TcHgS6,0.18368351400000005,0.23730810300000005
575,II step,AgBiS2/AgBiS6,0.127121747,0.23761927724999998
3315,I step,GaAu2S3/GaAu2S5,0.07004976299999999,0.23774436300000001
3231,II step,CoNiS2/CoNiS6,0.19401770800000007,0.23786393299999997
941,I step,Ti(GeS2)2/TiGe2S5,0.07997524800000011,0.23815980300000028
9384,II step,Tl2Co2S5/TlCoS4,0.096656144,0.23817060099999998
816,I step,CrHg3S5/CrHg3S8,-0.0006282329999999781,0.23863961899999975
5038,I step,TcTe3S4/TcTe3S5,0.042100727000000004,0.2386719020000001
271,II step,Ta(GeS)3/TaGe3S4,0.053623080000000045,0.23882747800000015
4743,II step,TaNiS4/TaNiS6,0.18877351200000003,0.23884491299999988
2774,I step,ZrPd2S3/Zr(PdS2)2,0.11867034499999995,0.23884668200000014
7686,I step,WAu2S3/W(AuS3)2,0.13510775499999994,0.2389818989999999
6739,I step,InHg2S3/In(HgS2)2,0.03691810299999998,0.239280532
7838,I step,HgRuS2/HgRuS6,0.10967326099999997,0.23936847625000002
4889,II step,AlCrS3/AlCrS4,0.14177894600000007,0.2395119000000001
3288,II step,TcPb3S5/TcPb3S8,0.12166911299999994,0.23956746566666665
5501,II step,CdRh2S5/Cd(RhS3)2,0.04344415700000004,0.23959927499999978
2303,I step,Cu3MoS4/Cu3MoS8,0.10044485299999995,0.23979858749999994
5533,II step,Rb2Pt2S5/RbPtS3,0.07804381799999993,0.2398302809999997
7666,II step,HgTe2S3/HgTe2S5,0.04306620400000005,0.239830875
4815,I step,CsTaS4/CsTaS6,0.2619934079999999,0.23992062199999964
4670,I step,Cu3Rh3S8/CuRhS6,0.14346182299999993,0.2399315418000001
3429,II step,PdRhS4/PdRhS6,0.114640713,0.2399391835000002
3322,II step,GaAuS2/GaAuS4,0.13233375599999997,0.24008080549999988
2168,II step,BaAu4S3/Ba(Au2S3)2,0.07907688599999996,0.24023139833333307
3290,II step,TcPbS4/TcPbS6,0.11700749399999999,0.24034719100000013
5625,II step,MnAsS2/MnAsS3,0.06365990700000002,0.24043518300000022
8971,II step,NaRhS3/NaRhS4,0.10005462099999995,0.24047438900000007
9769,I step,InAuS2/InAuS3,0.07291603099999999,0.24062080099999994
6561,II step,NiSnS2/NiSnS6,0.189128578,0.2409344535000001
9553,II step,GeAuS/GeAuS6,0.10724413400000005,0.24097478160000002
9158,II step,CrPtS4/CrPtS6,0.13626641000000006,0.24109547599999992
8592,II step,CuGe2S3/CuGe2S5,0.06867319300000008,0.24116554249999989
8951,I step,Cr2InS4/Cr2InS6,0.16196483399999995,0.24116782500000022
5245,II step,CrAsS3/CrAsS4,0.029912054000000077,0.24124114399999996
4869,I step,Cs2Ru2S5/CsRuS3,0.06768596199999999,0.24131406200000072
2387,I step,Tl2Hg2S3/TlHgS3,0.04993760599999997,0.24149754
8499,I step,V(SbS2)2/VSb2S5,0.03182631800000002,0.24149979700000035
7241,II step,CuAuS2/CuAuS3,0.03441876199999999,0.24163506899999998
9724,II step,Nb2PtS5/Nb2PtS6,0.09839725399999999,0.24201973499999951
3076,I step,MnCoS3/MnCoS6,0.173329473,0.24206833233333303
2666,II step,Sn(PbS2)2/SnPb2S5,0.04073262200000005,0.24214844400000057
5415,II step,LiHgS3/Li2Hg2S9,0.14818066399999996,0.24233365033333332
2750,II step,ScHgS2/ScHgS4,0.361434579,0.24234195749999987
1512,I step,Nb4CuS8/Nb4CuS10,0.13687324599999995,0.2425084429999993
3459,I step,Sr(CuS)2/SrCu2S3,0.11063504200000018,0.24265206299999953
2355,I step,Nb(HgS2)2/NbHg2S5,0.053339303000000005,0.24273086700000057
501,II step,TeWS3/TeWS6,0.15318566600000005,0.24290856766666669
4331,II step,AlAsS3/AlAsS6,0.22421038199999999,0.24321805633333327
9968,II step,Ba3GeS5/Ba3GeS8,0.36890494799999995,0.24336666666666673
4048,II step,LiAuS3/LiAuS6,0.07380694200000004,0.24346200833333342
5795,II step,TePb3S4/TePb3S5,0.05560112000000006,0.24357494499999977
5788,II step,K2Hf2S5/K2Hf2S9,0.5110399720000001,0.2436145725000003
4911,I step,AsAuS2/AsAuS4,0.07086616700000004,0.24363670849999997
5718,I step,MnNiS3/MnNiS6,0.142232656,0.24366825400000014
4816,II step,Cs2Ta2S9/CsTaS6,0.15851748,0.24376574466666767
5193,II step,MnCrS4/MnCrS6,0.1465175740000001,0.24401634049999998
8507,I step,NaHfS3/NaHfS4,0.23163020599999995,0.24420573899999987
5822,II step,Rb2Ge2S5/Rb2Ge2S9,0.234905362,0.2442242560000003
6852,I step,TiPbS3/TiPbS4,0.19408285599999986,0.2443254829999999
1906,II step,InNiS3/InNiS4,0.025280595000000017,0.2443987609999998
2671,II step,Li2Be2S3/LiBeS3,0.29571039999999993,0.24444757433333342
7115,I step,Ge3IrS4/Ge3IrS6,0.08832961299999997,0.24446768149999976
6609,I step,V(GeS2)2/VGe2S5,0.054413258999999936,0.24458014499999958
7699,II step,NaGeS2/NaGeS4,0.17977601200000004,0.24468363349999978
7684,I step,WAu3S4/WAu3S8,0.08179450000000005,0.24472758249999993
7561,II step,K2Ge2S7/KGeS4,0.03933310499999998,0.2449430770000003
5075,II step,Mn(PbS2)2/MnPb2S5,0.055746138000000056,0.2449732959999995
7388,II step,YMnS2/YMnS6,0.698328614,0.24509419874999994
9472,II step,Na3CoS3/Na3CoS4,0.06821894599999989,0.24532530199999947
7482,I step,CrNiS2/Cr3Ni3S8,0.06896448099999997,0.2454403014999995
5584,I step,CdPd2S3/Cd(PdS3)2,0.11440730100000007,0.2456225700000001
1758,II step,Zr2Tl2S5/Zr2Tl2S9,0.380650162,0.24574255749999985
10243,I step,Sr2VS4/Sr2VS5,0.19393265199999998,0.2457957180000001
4001,II step,Ni3Pt3S8/NiPtS3,0.04436367699999999,0.2458705349999999
5757,II step,AlBiS2/AlBiS6,0.34947943699999995,0.2458851955000001
1892,I step,InNi3S4/InNi3S8,0.09055322399999999,0.24588796599999996
9184,II step,InAsS2/InAsS4,0.1862961649999999,0.2459898144999999
9208,I step,AlTlS2/AlTlS4,0.24108696000000007,0.24630123000000026
8442,I step,RuAu3S4/RuAu3S8,0.07207560500000004,0.24649423225
1377,II step,InGa2S3/InGa2S5,0.15933919000000007,0.24650243599999966
1958,II step,Cd(PtS2)2/Cd(PtS3)2,0.10819858299999996,0.2467472515
3216,II step,Ge2PdS4/Ge2PdS5,0.058271229000000035,0.24695275199999944
883,II step,TiHgS3/TiHgS6,0.3129758840000001,0.2469806539999997
8179,I step,Zn3RuS4/Zn3RuS8,0.18706148899999997,0.24703947525000003
2109,II step,RbHgS/Rb2Hg2S3,0.057268918,0.24715741099999988
4220,I step,La2TeS4/La2TeS5,0.17058742100000002,0.2472003479999998
6583,I step,In2Pt2S5/InPtS3,0.05926287200000002,0.24725481100000035
5658,II step,Cr4RhS8/Cr4RhS10,0.09759569099999998,0.2472995099999995
6020,II step,Ga(BiS2)2/GaBi2S5,0.050180137000000014,0.24738350500000017
8867,I step,Tl2CuS4/Tl2CuS5,0.03404486200000001,0.2478478359999996
5602,II step,TaAg2S3/TaAg2S5,0.12239319100000001,0.24794966999999968
7844,II step,Hg3RuS4/Hg3RuS8,0.005537271999999982,0.24796606975000002
3524,II step,NiOs2S5/Ni(OsS3)2,0.03535962100000001,0.24824175000000004
28,II step,VAu2S3/VAu2S5,0.13336020699999995,0.2483616405000002
4503,II step,CsCoS2/Cs2Co2S5,0.08174514700000002,0.24846203199999994
5445,I step,GaAsS2/GaAsS6,0.25166958599999995,0.24850004675000004
2882,II step,La2AuS4/La2AuS5,0.18245994999999993,0.2485286500000008
8446,II step,Ru(AuS)2/Ru(AuS3)2,0.05727445999999997,0.24855608950000008
2014,II step,Co2Ag2S5/CoAgS4,-0.008894740999999984,0.24871134266666672
359,I step,HgGe2S3/HgGe2S5,0.07467722900000007,0.2490720879999999
5817,I step,RbGeS2/RbGeS4,0.25178420599999995,0.24914320750000019
3582,II step,PdAuS3/PdAuS4,0.029455720999999935,0.24942197700000035
7360,I step,Zn3PtS4/Zn3PtS8,0.18627518399999998,0.24951492499999994
8372,II step,RhAuS2/Rh3Au3S8,0.02479737999999998,0.2496261470000003
9449,II step,Cd3InS4/Cd3InS8,0.181485236,0.24964424250000006
4974,II step,Mg(AlS2)2/MgAl2S5,0.1524946690000002,0.24979088999999988
7704,I step,CaPb3S4/CaPb3S8,0.2538617000000001,0.2498864757499999
1568,I step,Mg(AsS2)2/MgAs2S5,0.020679057000000056,0.24992693999999993
7989,I step,In(BiS2)2/InBi2S5,0.04274678300000001,0.2499452169999996
8411,II step,ZnSbS2/ZnSbS4,0.110549868,0.24997530400000012
3534,II step,NiOsS4/NiOsS6,0.08275961900000006,0.25016085750000006
1464,I step,ReWS4/ReWS6,0.19223880799999993,0.2503111845000001
2669,II step,Sn2PbS4/Sn2PbS5,0.06668037199999999,0.2503195940000005
9468,II step,NaCoS2/NaCoS4,0.18412655599999994,0.2503683135000001
2877,II step,LaAuS2/La2Au2S5,0.13385105200000003,0.2505114519999996
6868,II step,MnPdS2/MnPdS6,0.25854611400000005,0.25075539474999986
5026,I step,Ga3RhS4/Ga3RhS8,0.20880031599999993,0.2507889967499999
8337,I step,Sr3IrS5/Sr3IrS8,0.35116016900000013,0.2510107279999998
6098,I step,CoRhS4/CoRhS6,0.13169068100000003,0.25115251900000013
2057,I step,TiAgS2/Ti2Ag2S9,0.41663944799999997,0.25120172839999944
7889,II step,RePdS4/RePdS6,0.11986690700000002,0.2512021015000001
4399,II step,HgBiS2/HgBiS4,0.07631587899999998,0.25127948899999997
5162,I step,Sr2PtS3/Sr2PtS5,0.393957734,0.25135143299999996
4254,I step,InPbS2/InPbS4,0.23287165099999996,0.2513619169999999
3314,II step,GaAu2S3/Ga(AuS2)2,0.030186354999999998,0.25154205800000007
7416,I step,KYS2/KYS4,0.582382679,0.2518828624999996
7566,I step,Zn(Au2S3)2/Zn(AuS2)4,0.061670064999999996,0.25191139649999994
5306,II step,ScAu3S4/Sc(AuS2)3,0.12573343599999998,0.251948579
5412,II step,LiHgS2/Li2Hg2S9,0.270312071,0.25196436459999993
3697,I step,Zr2Ag2S5/ZrAgS4,0.1936967380000001,0.252077774
4300,I step,Ta(HgS)3/TaHg3S5,0.03286928,0.2520915764999998
6257,I step,MnCuS2/MnCuS6,0.23587381899999998,0.25224537775
10163,I step,Re2GeS4/Re2GeS5,0.06203812399999997,0.25226376600000044
9951,I step,MnRe2S5/Mn(ReS3)2,0.08740383399999996,0.2522751679999997
9558,I step,Ge2Au2S3/GeAuS6,0.10750597700000003,0.2522756035555555
7304,II step,HfIr2S5/Hf(IrS3)2,0.09632933099999996,0.25234271000000064
