Rh,715
Mn,689
Au,685
Ge,671
In,611
Cr,590
Ta,562
Tc,545
Ni,518
Ir,510
Pt,504
Ru,486
Zr,455
Cu,445
Pd,443
Hf,439
Ga,439
Ti,423
Os,421
Co,410
Hg,391
V,378
Nb,375
Te,374
Tl,364
Re,354
Sc,350
Pb,326
Sn,318
Ag,314
As,302
Cd,292
Al,290
Na,266
Fe,254
Rb,250
Ba,248
Mg,241
Y,240
Cs,228
Li,223
K,222
Sb,204
Sr,196
Bi,187
W,176
La,176
Zn,170
Mo,138
Ca,127
Be,121
